Title,Year,Genres,Language,Country,Content_Rating,Duration,Aspect_Ratio,Budget,Gross_Earnings,Director,Actor1,Actor2,Actor3,Reviews_by_Users,Reviews_by_Critics,IMDB_Score
102 Dalmatians,2000,Adventure Comedy Family,English,USA,G,100,1.85,85000000,66941559,Kevin Lima,Ioan Gruffudd,Eric Idle,Jim Carter,77,84,4.8
28 Days,2000,Comedy Drama,English,USA,PG-13,103,1.37,43000000,37035515,Betty Thomas,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,194,116,6
3 Strikes,2000,Comedy,English,USA,R,82,1.85,6000000,9821335,DJ Pooh,Mo'Nique,Mike Epps,Faizon Love,10,22,4
Aberdeen,2000,Drama,English,UK,NA,106,1.85,6500000,64148,Hans Petter Moland,Charlotte Rampling,Sara-Marie Maltha,Stellan SkarsgÃ¥rd,35,28,7.3
All the Pretty Horses,2000,Drama Romance Western,English,USA,PG-13,220,2.35,57000000,15527125,Billy Bob Thornton,Matt Damon,Henry Thomas,Sam Shepard,183,85,5.8
Almost Famous,2000,Adventure Comedy Drama Music,English,USA,R,152,1.85,60000000,32522352,Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,822,149,7.9
American Psycho,2000,Crime Drama,English,USA,R,102,2.35,7000000,15047419,Mary Harron,Christian Bale,Justin Theroux,Samantha Mathis,1061,288,7.6
Amores Perros,2000,Drama Thriller,Spanish,Mexico,R,115,1.85,2000000,5383834,Alejandro G. IÃ±Ã¡rritu,Adriana Barraza,Jorge Salinas,Goya Toledo,361,157,8.1
An Everlasting Piece,2000,Comedy,English,USA,R,103,1.85,14000000,75078,Barry Levinson,Anna Friel,BrÃ­an F. O'Byrne,Pauline McLynn,26,34,6.3
Anatomy,2000,Horror Thriller,German,Germany,R,103,2.35,8400000,5725,Stefan Ruzowitzky,Benno FÃ¼rmann,RÃ¼diger Vogler,Sebastian Blomberg,110,62,6.1
Autumn in New York,2000,Drama Romance,English,USA,PG-13,103,1.85,40000000,37752931,Joan Chen,J.K. Simmons,Sam Trammell,Elaine Stritch,180,101,5.5
Bamboozled,2000,Comedy Drama Music,English,USA,R,135,1.85,10000000,2185266,Spike Lee,Gillian White,Michael Rapaport,Jada Pinkett Smith,186,57,6.5
Battlefield Earth,2000,Action Adventure Sci-Fi,English,USA,PG-13,119,2.35,44000000,21471685,Roger Christian,Richard Tyson,Michael Byrne,John Topor,1308,174,2.4
Bedazzled,2000,Comedy Fantasy Romance,English,USA,PG-13,93,2.35,48000000,37879996,Harold Ramis,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,254,125,6
Best in Show,2000,Comedy,English,USA,PG-13,90,1.85,6000000,18621249,Christopher Guest,John Michael Higgins,Catherine O'Hara,Michael McKean,340,119,7.5
Big Momma's House,2000,Action Comedy Crime,English,USA,PG-13,99,1.85,30000000,117559438,Raja Gosnell,Nia Long,Cedric the Entertainer,Tichina Arnold,148,100,5.1
Billy Elliot,2000,Drama Music,English,UK,R,110,1.85,5000000,21994911,Stephen Daldry,Julie Walters,Gary Lewis,Jamie Draven,433,151,7.7
Bless the Child,2000,Crime Drama Horror Thriller,English,USA,R,107,2.35,40000000,29374178,Chuck Russell,Rufus Sewell,Jimmy Smits,Angela Bettis,188,100,5.1
Boiler Room,2000,Crime Drama Thriller,English,USA,R,120,1.85,8000000,16938179,Ben Younger,Vin Diesel,Nia Long,Herbert Russell,246,132,7
Book of Shadows: Blair Witch 2,2000,Adventure Fantasy Horror Mystery Thriller,English,USA,R,90,1.85,15000000,26421314,Joe Berlinger,Kim Director,Erica Leerhsen,Kurt Loder,457,160,4
Boys and Girls,2000,Comedy Drama Romance,English,USA,PG-13,94,1.85,16000000,20627372,Robert Iscove,Alyson Hannigan,Amanda Detmer,Tsianina Joelson,134,67,5.3
Bring It On,2000,Comedy Sport,English,USA,PG-13,98,1.85,10000000,68353550,Peyton Reed,Kirsten Dunst,Lindsay Sloane,Clare Kramer,385,139,5.9
Brother,2000,Crime Drama Thriller,English,USA,R,114,1.85,10000000,447750,Takeshi Kitano,Omar Epps,Tatyana Ali,James Shigeta,133,81,7.2
Cast Away,2000,Adventure Drama Romance,English,USA,PG-13,143,1.85,90000000,233630478,Robert Zemeckis,Tom Hanks,Paul Sanchez,Nick Searcy,1051,221,7.7
Cecil B. DeMented,2000,Comedy Crime Thriller,English,France,R,87,1.85,10000000,1276984,John Waters,Alicia Witt,Melanie Griffith,Kevin Nealon,150,90,6.2
Center Stage,2000,Drama Music Romance,English,USA,PG-13,115,2.35,18000000,17174870,Nicholas Hytner,Amanda Schull,Susan May Pratt,Ethan Stiefel,210,68,6.7
Charlie's Angels,2000,Action Adventure Comedy Crime Thriller,English,USA,PG-13,94,2.35,92000000,125305545,McG,Bill Murray,LL Cool J,Kelly Lynch,643,181,5.5
Chicken Run,2000,Adventure Animation Comedy Drama Family,English,UK,G,84,1.85,45000000,106793915,Peter Lord,Imelda Staunton,Miranda Richardson,Julia Sawalha,358,187,7
Chocolat,2000,Drama Romance,English,UK,PG-13,121,1.85,25000000,71309760,Lasse HallstrÃ¶m,Lena Olin,Leslie Caron,Hugh O'Conor,498,152,7.3
Chuck & Buck,2000,Comedy Drama,English,USA,R,96,1.85,250000,1050600,Miguel Arteta,Lupe Ontiveros,Mike White,Chris Weitz,136,59,6.6
Coyote Ugly,2000,Comedy Drama Music Romance,English,USA,PG-13,107,2.35,45000000,60786269,David McNally,Adam Garcia,Tyra Banks,Izabella Miko,379,155,5.6
Dancer in the Dark,2000,Crime Drama Musical,English,Denmark,R,140,2.35,12800000,4157491,Lars von Trier,Catherine Deneuve,Udo Kier,BjÃ¶rk,690,177,8
Digimon: The Movie,2000,Action Adventure Animation Family Sci-Fi,English,USA,PG,82,1.85,5000000,9628751,Mamoru Hosoda,Lara Jill Miller,Colleen O'Shaughnessey,Mona Marshall,65,29,5.9
Dinner Rush,2000,Crime Drama Romance,English,USA,R,99,1.85,2000000,110000,Bob Giraldi,Danny Aiello,Manny Perez,Ajay Naidu,73,39,7.3
Dinosaur,2000,Adventure Animation Family Thriller,English,USA,PG,82,1.85,127500000,137748063,Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,241,145,6.5
Down to You,2000,Comedy Drama Romance,English,USA,PG-13,91,1.85,9000000,20035310,Kris Isacsson,Rosario Dawson,Lauren German,Shawn Hatosy,173,64,4.9
Dracula 2000,2000,Action Fantasy Horror Thriller,English,USA,R,99,2.35,28000000,33000377,Patrick Lussier,Gerard Butler,Danny Masterson,Jeri Ryan,365,122,4.9
Drowning Mona,2000,Comedy Crime Mystery,English,USA,PG-13,96,1.85,16000000,15427192,Nick Gomez,Will Ferrell,Jamie Lee Curtis,Tracey Walter,148,84,5.6
"Dude, Where's My Car?",2000,Comedy Mystery,English,USA,PG-13,83,1.37,13000000,46729374,Danny Leiner,Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,469,106,5.5
Duets,2000,Comedy Drama Music,English,USA,R,112,1.85,15000000,4734235,Bruce Paltrow,Lochlyn Munro,Marian Seldes,Huey Lewis,123,65,6
Erin Brockovich,2000,Biography Drama,English,USA,R,131,1.85,52000000,125548685,Steven Soderbergh,Julia Roberts,Albert Finney,Conchata Ferrell,498,169,7.3
Everything Put Together,2000,Drama,English,USA,R,87,1.85,100000,8741,Marc Forster,Radha Mitchell,Alan Ruck,Megan Mullally,10,24,6.6
Final Destination,2000,Horror Thriller,English,USA,R,98,1.85,23000000,53302314,James Wong,Daniel Roebuck,Brendan Fehr,Kerr Smith,674,211,6.7
Finding Forrester,2000,Drama,English,USA,PG-13,136,2.35,43000000,51768623,Gus Van Sant,F. Murray Abraham,Rob Brown,Michael Nouri,297,137,7.3
Frequency,2000,Crime Drama Mystery Sci-Fi Thriller,English,USA,PG-13,118,2.35,31000000,44983704,Gregory Hoblit,Dennis Quaid,Andre Braugher,Noah Emmerich,510,168,7.3
George Washington,2000,Drama,English,USA,Unrated,90,2.35,42000,241816,David Gordon Green,Paul Schneider,Eddie Rouse,Damian Jewan Lee,76,75,7.5
Get Carter,2000,Action Crime Drama Thriller,English,USA,R,102,2.35,40000000,14967182,Stephen Kay,Sylvester Stallone,Miranda Richardson,Lauren Lee Smith,284,102,5.1
Gladiator,2000,Action Drama Romance,English,USA,R,171,2.35,103000000,187670866,Ridley Scott,Djimon Hounsou,Connie Nielsen,Oliver Reed,2368,265,8.5
Gone in Sixty Seconds,2000,Action Crime Thriller,English,USA,PG-13,127,2.35,90000000,101643008,Dominic Sena,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,498,175,6.5
Gossip,2000,Drama Mystery Thriller,English,USA,R,90,2.35,24000000,5108820,Davis Guggenheim,Norman Reedus,Sharon Lawrence,Noam Jenkins,112,63,5.9
Groove,2000,Drama Music,English,USA,R,86,1.85,500000,1114943,Greg Harrison,Rachel True,Ari Gold,Denny Kirkwood,74,46,6.5
Gun Shy,2000,Comedy Crime Romance,English,USA,R,101,1.85,10000000,1631839,Eric Blakeney,Liam Neeson,Oliver Platt,Mitch Pileggi,91,49,5.7
