Title,Duration,Budget,Reviews_by_Users,IMDB_Score,Gross_Earnings
102 Dalmatians,100,85000000,77,4.8,66941559
28 Days,103,43000000,194,6,37035515
3 Strikes,82,6000000,10,4,9821335
Aberdeen,106,6500000,35,7.3,64148
All the Pretty Horses,220,57000000,183,5.8,15527125
Almost Famous,152,60000000,822,7.9,32522352
American Psycho,102,7000000,1061,7.6,15047419
Amores Perros,115,2000000,361,8.1,5383834
An Everlasting Piece,103,14000000,26,6.3,75078
Anatomy,103,8400000,110,6.1,5725
Autumn in New York,103,40000000,180,5.5,37752931
Bamboozled,135,10000000,186,6.5,2185266
Battlefield Earth,119,44000000,1308,2.4,21471685
Bedazzled,93,48000000,254,6,37879996
Best in Show,90,6000000,340,7.5,18621249
Big Momma's House,99,30000000,148,5.1,117559438
Billy Elliot,110,5000000,433,7.7,21994911
Bless the Child,107,40000000,188,5.1,29374178
Boiler Room,120,8000000,246,7,16938179
Book of Shadows: Blair Witch 2,90,15000000,457,4,26421314
Boys and Girls,94,16000000,134,5.3,20627372
Bring It On,98,10000000,385,5.9,68353550
Brother,114,10000000,133,7.2,447750
Cast Away,143,90000000,1051,7.7,233630478
Cecil B. DeMented,87,10000000,150,6.2,1276984
Center Stage,115,18000000,210,6.7,17174870
Charlie's Angels,94,92000000,643,5.5,125305545
Chicken Run,84,45000000,358,7,106793915
Chocolat,121,25000000,498,7.3,71309760
Chuck & Buck,96,250000,136,6.6,1050600
Coyote Ugly,107,45000000,379,5.6,60786269
Dancer in the Dark,140,12800000,690,8,4157491
Digimon: The Movie,82,5000000,65,5.9,9628751
Dinner Rush,99,2000000,73,7.3,110000
Dinosaur,82,127500000,241,6.5,137748063
Down to You,91,9000000,173,4.9,20035310
Dracula 2000,99,28000000,365,4.9,33000377
Drowning Mona,96,16000000,148,5.6,15427192
"Dude, Where's My Car?",83,13000000,469,5.5,46729374
Duets,112,15000000,123,6,4734235
Erin Brockovich,131,52000000,498,7.3,125548685
Everything Put Together,87,100000,10,6.6,8741
Final Destination,98,23000000,674,6.7,53302314
Finding Forrester,136,43000000,297,7.3,51768623
Frequency,118,31000000,510,7.3,44983704
George Washington,90,42000,76,7.5,241816
Get Carter,102,40000000,284,5.1,14967182
Gladiator,171,103000000,2368,8.5,187670866
Gone in Sixty Seconds,127,90000000,498,6.5,101643008
Gossip,90,24000000,112,5.9,5108820
Groove,86,500000,74,6.5,1114943
Gun Shy,101,10000000,91,5.7,1631839
Hanging Up,94,60000000,130,4.7,36037909
Here on Earth,96,15000000,162,5.1,10494147
High Fidelity,113,20000000,602,7.6,27277055
Highlander: Endgame,101,15000000,355,4.6,12801190
Hollow Man,119,95000000,628,5.7,73209340
How the Grinch Stole Christmas,110,123000000,482,6,260031035
I Dreamed of Africa,114,34000000,61,5.6,6543194
Isn't She Great,95,36000000,64,5.3,2954405
Keeping the Faith,128,30000000,259,6.4,37036404
Lisa Picard Is Famous,90,1000000,16,5.7,112521
Little Nicky,90,80000000,237,5.3,39442871
Loser,98,20000000,158,5.3,15464026
Lost Souls,97,28000000,167,4.8,16779636
Love & Basketball,124,15000000,116,7.2,27441122
Lucky Numbers,105,65000000,69,5,10014234
Luminarias,100,1000000,32,3.6,428535
"Me, Myself & Irene",116,51000000,481,6.5,90567722
Meet the Parents,108,55000000,507,7,166225040
Memento,113,9000000,2067,8.5,25530884
Men of Honor,129,32000000,224,7.2,48814909
Mercy Streets,106,600000,16,5.6,171988
Michael Jordan to the Max,46,7000000,13,7.5,18642318
Miss Congeniality,109,45000000,370,6.2,106807667
Mission to Mars,114,90000000,949,5.6,60874615
Mission: Impossible II,123,125000000,1426,6.1,215397307
My Dog Skip,95,5000000,149,7,34099640
Next Friday,98,9500000,84,6.1,57176582
Nine Queens,114,1500000,125,7.9,1221261
Nurse Betty,110,24000000,263,6.3,25167270
Nutty Professor II: The Klumps,109,65000000,171,4.3,123307945
"O Brother, Where Art Thou?",107,26000000,862,7.8,45506619
Pandaemonium,124,15000000,32,6.6,17113
Pay It Forward,123,40000000,660,7.2,33508922
Pitch Black,112,23000000,805,7.1,39235088
Pollock,122,6000000,148,7,8596914
Proof of Life,135,65000000,265,6.2,32598931
Psycho Beach Party,85,1500000,93,6.3,265107
Quills,124,13500000,314,7.4,7060876
Ready to Rumble,107,24000000,101,5.3,12372410
Red Planet,106,70000000,348,5.7,17473245
Reindeer Games,124,34000000,212,5.7,23360779
Remember the Titans,120,30000000,402,7.8,115648585
Requiem for a Dream,102,4500000,1916,8.4,3609278
Return to Me,115,24000000,275,6.9,32662299
Road Trip,94,15600000,302,6.5,68525609
Romeo Must Die,115,25000000,365,6.1,55973336
Rugrats in Paris: The Movie,78,30000000,49,6.1,76501438
Scream 3,116,40000000,734,5.5,89138076
Screwed,81,10000000,69,5.7,6982680
Sexy Beast,89,4300000,346,7.3,6940281
Shadow of the Vampire,92,8000000,339,6.9,8279017
Shaft,99,46000000,301,5.9,70327868
Shanghai Noon,110,55000000,293,6.6,56932305
Small Time Crooks,94,18000000,192,6.7,17071230
Snatch,104,6000000,726,8.3,30093107
Snow Day,89,13000000,91,4.9,60008303
Songcatcher,109,1800000,78,7.3,3050934
Space Cowboys,130,65000000,326,6.4,90454043
Supernova,91,65000000,282,4.8,14218868
Tadpole,78,150000,101,6.3,2882062
The 6th Day,123,82000000,289,5.9,34543701
The Adventures of Rocky & Bullwinkle,92,76000000,197,4.1,26000610
The Art of War,116,40000000,167,5.7,30199105
The Beach,119,50000000,548,6.6,39778599
The Broken Hearts Club: A Romantic Comedy,94,1000000,120,7,1744858
The Cell,109,33000000,677,6.3,61280963
The Claim,115,20000000,92,6.5,403932
The Contender,126,20000000,370,7,17804273
The Crew,88,23000000,47,5.6,13019253
The Emperor's New Groove,78,100000000,297,7.3,89296573
The Family Man,125,60000000,322,6.7,75764085
The Flintstones in Viva Rock Vegas,90,60000000,85,3.6,35231365
The House of Mirth,135,10000000,181,7.1,3041803
The In Crowd,105,15000000,85,4.6,5217498
The Kid,104,60000000,139,6.1,69688384
The Ladies Man,84,11000000,79,5.1,13592872
The Legend of Bagger Vance,126,60000000,267,6.7,30695227
The Little Vampire,95,22000000,38,5.7,13555988
The Next Best Thing,99,25000000,162,4.7,14983572
The Original Kings of Comedy,115,3000000,83,6.6,38168022
The Patriot,142,110000000,1144,7.1,113330342
The Perfect Storm,130,140000000,779,6.4,182618434
The Replacements,118,50000000,261,6.5,44737059
The Road to El Dorado,89,95000000,139,6.9,50802661
The Skulls,106,15000000,193,5.6,35007180
The Specials,82,1000000,54,6,12996
The Tigger Movie,77,30000000,53,6.3,45542421
The Watcher,97,33000000,181,5.3,28927720
The Way of the Gun,119,8500000,327,6.7,6047856
The Whole Nine Yards,98,24000000,318,6.7,57262492
