Title,Duration,Budget,Reviews_by_Users,IMDB_Score,Gross_Earnings
Beer League,86,2800000,53,6,475000
Alias Betty,103,50000000,26,6.9,206400
Antitrust,109,30000000,221,6.1,10965209
Vertical Limit,124,75000000,379,5.9,68473360
The Forbidden Kingdom,104,55000000,279,6.6,25040293
Vicky Cristina Barcelona,96,15500000,365,7.2,23213577
Resident Evil: Apocalypse,98,45000000,672,6.2,50740078
Resident Evil,100,33000000,1138,6.7,39532308
Not Another Teen Movie,99,16000000,393,5.7,37882551
Defendor,95,3500000,90,6.8,37606
Cecil B. DeMented,87,10000000,150,6.2,1276984
Knowing,121,50000000,791,6.2,79948113
Hide and Seek,101,30000000,450,5.9,51097664
Loser,98,20000000,158,5.3,15464026
Snatch,104,6000000,726,8.3,30093107
Madison,94,15500000,26,6.5,508867
The Invasion,99,80000000,273,5.9,15071514
The House of Mirth,135,10000000,181,7.1,3041803
Swept Away,89,10000000,215,3.6,598645
Honey,94,25000000,144,5.3,30222640
Freddy vs. Jason,97,30000000,885,5.8,82163317
Drillbit Taylor,102,40000000,101,5.7,32853640
Open Season,83,85000000,100,6.2,84303558
On the Line,85,16000000,79,4.1,4356743
The Bank Job,111,20000000,189,7.3,30028592
Veronika Decides to Die,103,9000000,42,6.5,1709178
Case 39,109,27000000,174,6.2,13248477
"Run, Fatboy, Run",100,10000000,143,6.6,5998971
Madagascar: Escape 2 Africa,89,150000000,119,6.7,179982968
Traffic,190,48000000,867,7.6,124107476
The Jacket,94,29000000,263,7.1,6301131
Dreamgirls,130,70000000,503,6.5,103338338
The Rocker,102,15000000,104,6.2,6409206
Becoming Jane,120,16500000,151,7.1,18663911
Autumn in New York,103,40000000,180,5.5,37752931
Saving Silverman,96,22000000,201,5.9,19351569
Spy Kids 3-D: Game Over,84,38000000,188,4.1,111760631
An Everlasting Piece,103,14000000,26,6.3,75078
Southland Tales,160,17000000,238,5.5,273420
Kit Kittredge: An American Girl,101,10000000,24,6.7,17655201
Invictus,134,60000000,259,7.4,37479778
Enough,115,38000000,234,5.6,39177215
The Last Station,112,13000000,82,7,6615578
Scott Walker: 30 Century Man,95,500000,11,7.3,69521
Tanner Hall,96,3000000,14,5.9,5005
Bran Nue Dae,88,6500000,31,6.3,110029
The Machinist,94,5000000,458,7.7,1082044
The Eclipse,86,68000000,31,6.2,128937
Littleman,98,64000000,187,4.3,58255287
Basic,98,50000000,286,6.5,26536120
Standard Operating Procedure,118,5000000,22,7.5,228830
The Bourne Ultimatum,115,110000000,820,8.1,227137090
Star Wars: Episode II - Attack of the Clones,142,115000000,3516,6.7,310675583
Along Came Polly,90,42000000,268,5.9,87856565
Buffalo Soldiers,98,15000000,111,6.9,353743
Superhero Movie,82,35000000,173,4.5,25871834
Nanny McPhee,97,25000000,181,6.6,47124400
Big Trouble,74,40000000,186,6.5,7262288
Summer Catch,108,34000000,107,4.9,19693891
Harvard Man,99,5500000,69,4.9,56007
Blue Crush,104,30000000,216,5.6,40118420
The Sum of All Fears,124,68000000,568,6.4,118471320
The Man,83,33000000,76,5.5,8326035
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,97,1000000,13,7.3,144431
Ghost Ship,91,35000000,474,5.5,30079316
About a Boy,101,30000000,391,7.1,40566655
xXx: State of the Union,101,87000000,213,4.3,26082914
Sky Captain and the World of Tomorrow,106,70000000,618,6.1,37760080
Gran Torino,116,33000000,871,8.2,148085755
Son of the Mask,94,84000000,239,2.2,17010646
Milk,128,20000000,281,7.6,31838002
Get Over It,87,22000000,180,5.8,11560259
Far from Heaven,107,13500000,378,7.4,15854988
The Soloist,117,60000000,143,6.7,31670931
The Good Girl,93,5000000,298,6.5,14015786
Auto Focus,105,7000000,147,6.6,2062066
Dawn of the Dead,110,26000000,1057,7.4,58885635
Reindeer Games,124,34000000,212,5.7,23360779
Mr. Deeds,96,50000000,309,5.8,126203320
When a Stranger Calls,87,15000000,468,5,47860214
Kangaroo Jack,89,60000000,181,4.4,66734992
The Covenant,97,20000000,334,5.3,23292105
Heartbreakers,123,35000000,216,6.2,40334024
Slither,95,15500000,352,6.5,7774730
What a Girl Wants,105,20000000,194,5.8,35990505
Blade: Trinity,122,65000000,514,5.9,52397389
Diary of a Mad Black Woman,116,5500000,202,5.6,50382128
Josie and the Pussycats,98,22000000,242,5.3,14252830
Spanglish,131,80000000,342,6.5,42044321
Treasure Planet,95,140000000,217,7.1,38120554
The City of Your Final Destination,117,8300000,25,6.4,1448788
Imagine That,107,55000000,39,5.6,16088610
City of Ghosts,116,17500000,67,6,325491
Burn After Reading,96,37000000,545,7,60338891
Vantage Point,90,40000000,422,6.6,72266306
Supercross,80,30000000,38,4,3101301
Capote,110,7000000,416,7.4,28747570
The Skulls,106,15000000,193,5.6,35007180
The Banger Sisters,98,10000000,147,5.6,30306281
Master and Commander: The Far Side of the World,138,150000000,684,7.4,93926386
The Brown Bunny,93,10000000,226,5,365734
The Princess and the Frog,97,105000000,214,7.1,104374107
Yes,100,1000000,48,6.9,396035
Alvin and the Chipmunks: The Squeakquel,88,75000000,98,4.5,219613391
The Legend of God's Gun,78,30000,9,4.1,243768
Final Destination 3,86,25000000,571,5.8,54098051
The Hitchhiker's Guide to the Galaxy,109,50000000,1053,6.8,51019112
Duplex,89,40000000,147,5.8,9652000
Feardotcom,101,42000000,388,3.3,13208023
Alexander,206,155000000,1390,5.5,34293771
The Way of the Gun,119,8500000,327,6.7,6047856
Soul Kitchen,99,4000000,26,7.3,274385
Miss Potter,88,30000000,142,7,2975649
Who Killed the Electric Car?,92,1000000,155,7.7,1677838
A Guy Thing,101,20000000,92,5.6,15408822
The Crocodile Hunter: Collision Course,90,13000000,106,5.4,28399192
Pride & Prejudice,135,28000000,1058,7.8,38372662
Scooby-Doo,86,84000000,521,4.9,153288182
Return to Me,115,24000000,275,6.9,32662299
Dave Chappelle's Block Party,100,3000000,72,7.2,11694528
Lucky You,124,55000000,63,5.9,5755286
Hitman,94,24000000,376,6.3,39687528
Syriana,128,50000000,625,7,50815288
She's the Man,105,20000000,261,6.4,33687630
The SpongeBob SquarePants Movie,87,30000000,186,7,85416609
Gory Gory Hallelujah,96,100000,18,4.7,11798
Zombieland,88,23600000,553,7.7,75590286
Star Trek: Nemesis,116,60000000,842,6.4,43119879
The Last Legion,102,35000000,174,5.4,5932060
The Departed,151,90000000,2054,8.5,132373442
Spider-Man,121,139000000,2012,7.3,403706375
Law Abiding Citizen,118,50000000,429,7.4,73343413
Beverly Hills Chihuahua,91,20000000,99,3.7,94497271
How High,93,12000000,102,6.2,31155435
March of the Penguins,80,8000000,331,7.6,77413017
Casino Royale,144,150000000,2301,8,167007184
Exam,101,600000,120,6.9,394717
Hot Rod,88,25000000,149,6.7,13920741
Come Early Morning,97,6000000,29,6.2,117560
Choke,92,3000000,72,6.5,2926565
Fuel,112,2500000,34,7.6,173783
Sunshine State,141,5600000,81,6.9,3064356
The Simpsons Movie,87,75000000,763,7.4,183132370
Shall We Dance,106,50000000,211,6.1,57887882
Secret Window,96,40000000,531,6.6,47781388
National Treasure,131,100000000,692,6.9,173005002
Prom Night,89,20000000,260,3.9,43818159
The Bridge of San Luis Rey,120,24000000,50,5.1,42880
Holes,117,20000000,331,7.1,67325559
Dr. Dolittle 2,87,72000000,79,4.6,112950721
Walking Tall,86,56000000,221,6.2,45860039
Enemy at the Gates,131,68000000,662,7.6,51396781
Man of the House,100,40000000,94,5.4,19118247
Good Boy!,87,17000000,48,5.1,37566230
Deck the Halls,93,51000000,110,4.9,35092918
The Terminal,128,60000000,596,7.3,77032279
Pirates of the Caribbean: Dead Man's Chest,151,225000000,1832,7.3,423032628
School of Rock,108,35000000,479,7.1,81257845
Gothika,98,40000000,376,5.8,59588068
King Kong,201,207000000,2618,7.2,218051260
Birthday Girl,93,13000000,159,6.1,4919896
Crossover,95,5600000,36,2.1,7009668
The Hours,114,25000000,660,7.6,41597830
The Last King of Scotland,121,6000000,351,7.7,17605861
Blow,124,30000000,426,7.6,52937130
Ready to Rumble,107,24000000,101,5.3,12372410
The Good Guy,90,8000000,20,5.9,100503
"Paris, je t'aime",120,13000000,123,7.3,4857376
Teeth,94,2000000,161,5.4,347578
Max Keeble's Big Move,91,12000000,69,5.3,17292381
Aquamarine,104,12000000,150,5.3,18595716
Y Tu MamÃ¡ TambiÃ©n,106,2000000,385,7.7,13622333
The Sweetest Thing,90,43000000,403,5.1,24430272
New in Town,97,8000000,78,5.6,16699684
The Lovely Bones,135,65000000,593,6.7,43982842
Ladder 49,115,55000000,323,6.5,74540762
Don't Say a Word,113,50000000,248,6.3,54997476
